state,total_hospitals,hospitals_with_emergency_services,hospitals_without_emergency_services,percent_with_emergency_services,percent_without_emergency_services
LA,161,98,63,60.87,39.13
AZ,106,73,33,68.87,31.13
DE,13,9,4,69.23,30.77
GA,148,103,45,69.59,30.41
OH,196,139,57,70.92,29.08
MA,84,60,24,71.43,28.57
NJ,79,57,22,72.15,27.85
CA,378,285,93,75.40,24.60
CT,37,28,9,75.68,24.32
MD,56,43,13,76.79,23.21
IN,150,117,33,78.00,22.00
PA,188,148,40,78.72,21.28
MI,148,119,29,80.41,19.59
NV,46,37,9,80.43,19.57
TN,122,99,23,81.15,18.85
NY,190,156,34,82.11,17.89
SC,66,55,11,83.33,16.67
ID,48,40,8,83.33,16.67
WY,30,25,5,83.33,16.67
FL,222,186,36,83.78,16.22
TX,465,390,75,83.87,16.13
NM,45,38,7,84.44,15.56
KS,138,117,21,84.78,15.22
MS,106,90,16,84.91,15.09
MN,136,117,19,86.03,13.97
VA,95,83,12,87.37,12.63
NC,120,105,15,87.50,12.50
HI,24,21,3,87.50,12.50
MO,121,106,15,87.60,12.40
VT,17,15,2,88.24,11.76
SD,61,54,7,88.52,11.48
WI,142,126,16,88.73,11.27
ME,36,32,4,88.89,11.11
WV,55,49,6,89.09,10.91
OK,135,121,14,89.63,10.37
WA,100,90,10,90.00,10.00
AR,90,81,9,90.00,10.00
IL,194,175,19,90.21,9.79
NE,93,84,9,90.32,9.68
CO,97,88,9,90.72,9.28
AL,102,93,9,91.18,8.82
KY,102,93,9,91.18,8.82
RI,13,12,1,92.31,7.69
NH,28,26,2,92.86,7.14
OR,62,58,4,93.55,6.45
UT,51,48,3,94.12,5.88
IA,118,112,6,94.92,5.08
MT,63,60,3,95.24,4.76
ND,47,45,2,95.74,4.26
AK,25,24,1,96.00,4.00
